Mortes no trânsito,,,Homicídio juvenil,,OR,Homicídios,,,Arborização viária,,,Mortalidade por doenças do aparelho respiratório,,,Remuneração média do emprego formal,,,Favelas (% living in favelas),,,Demanda atendida em creches,,,Gravidez na adolescência,,,Idade média ao morrer,,,Empregos formais por habitante,,,Population change,,,Jobs in the past,
Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor
Jardim São Luís,6.11,,Jardim São Luís,74.51,,Jardim São Luís,22.29,,Jardim São Luís,9335,,Jardim São Luís,7.35,,Jardim São Luís,2846.05,,Jardim São Luís,24.04,,Jardim São Luís,73.51,,Jardim São Luís,13.87,,Jardim São Luís,62,,Jardim São Luís,0.185,,Jardim São Luís,0.853896358923458,,Jardim São Luís,1.79288284686126
José Bonifácio,6.87,,José Bonifácio,11.67,,José Bonifácio,6.1,,José Bonifácio,3535,,José Bonifácio,6.57,,José Bonifácio,1984.27,,José Bonifácio,1.67,,José Bonifácio,93.6,,José Bonifácio,12.96,,José Bonifácio,63.3,,José Bonifácio,0.05,,José Bonifácio,0.808294144732372,,José Bonifácio,1.92380310182063
Lajeado,9.1,,Lajeado,80.29,,Lajeado,18.21,,Lajeado,4490,,Lajeado,8.31,,Lajeado,1470.31,,Lajeado,8.42,,Lajeado,97.78,,Lajeado,15.9,,Lajeado,58.1,,Lajeado,0.022,,Lajeado,0.957453393533353,,Lajeado,2.23687845303867
Lapa,11.87,,Lapa,0,,Lapa,2.97,,Lapa,7980,,Lapa,11.67,,Lapa,2727.1,,Lapa,0.54,,Lapa,88.12,,Lapa,3.95,,Lapa,76.9,,Lapa,1.83,,Lapa,0.888862632737154,,Lapa,1.4840439111565
Liberdade,2.79,,Liberdade,21.4,,Liberdade,8.38,,Liberdade,2995,,Liberdade,11.23,,Liberdade,2955.93,,Liberdade,0.322,,Liberdade,84.33,,Liberdade,5.34,,Liberdade,73.7,,Liberdade,0.83,,Liberdade,0.858064068783802,,Liberdade,1.91884558460779
Limão,3.85,,Limão,80.85,,Limão,19.27,,Limão,4514,,Limão,12.42,,Limão,2726.79,,Limão,10.1,,Limão,76.55,,Limão,10.32,,Limão,68.9,,Limão,0.264,,Limão,1.06105478247375,,Limão,1.96558370044053
Mandaqui,8.35,,Mandaqui,15.69,,Mandaqui,2.78,,Mandaqui,5785,,Mandaqui,11.04,,Mandaqui,3220.47,,Mandaqui,7.15,,Mandaqui,76.3,,Mandaqui,8.04,,Mandaqui,69.7,,Mandaqui,0.448,,Mandaqui,0.956565703418526,,Mandaqui,2.22868605817452
Marsilac,12.45,,Marsilac,0,,Marsilac,12.45,,Marsilac,675,,Marsilac,12.53,,Marsilac,1287.32,,Marsilac,3.11,,Marsilac,83.54,,Marsilac,22.88,,Marsilac,59.2,,Marsilac,0.012,,Marsilac,1.05286895514909,,Marsilac,0.785714285714286
Moema,2.26,,Moema,0,,Moema,0,,Moema,11343,,Moema,11.96,,Moema,3277.65,,Moema,0,,Moema,89.06,,Moema,0.887,,Moema,79.2,,Moema,0.821,,Moema,0.796691443581289,,Moema,1.69783073632753
Moóca,4.92,,Moóca,0,,Moóca,1.23,,Moóca,4638,,Moóca,14.2,,Moóca,2366.27,,Moóca,0.189,,Moóca,85.81,,Moóca,5.74,,Moóca,76.9,,Moóca,0.979,,Moóca,0.768128960209755,,Mooca,2.20216947020909
Morumbi,9.32,,Morumbi,16.61,,Morumbi,3.73,,Morumbi,15830,,Morumbi,6.35,,Morumbi,4844.35,,Morumbi,16.59,,Morumbi,61.55,,Morumbi,10.26,,Morumbi,72,,Morumbi,1.22,,Morumbi,0.627685830429733,,Morumbi,2.22432516289172
Parelheiros,15.14,,Parelheiros,44.25,,Parelheiros,15.14,,Parelheiros,4806,,Parelheiros,7.55,,Parelheiros,1734.37,,Parelheiros,9.53,,Parelheiros,79.94,,Parelheiros,16.28,,Parelheiros,59.9,,Parelheiros,0.056,,Parelheiros,0.693441583837948,,Parelheiros,0.00308718626155878
Pari,16.37,,Pari,40.98,,Pari,5.46,,Pari,2127,,Pari,14.03,,Pari,4007.06,,Pari,2.35,,Pari,76.92,,Pari,11.89,,Pari,68.9,,Pari,5.74,,Pari,0.799654763189125,,Pari,2.27034546719221
Parque do Carmo,14.47,,Parque do Carmo,63.94,,Parque do Carmo,14.47,,Parque do Carmo,4395,,Parque do Carmo,8.37,,Parque do Carmo,1913.98,,Parque do Carmo,13.34,,Parque do Carmo,88.03,,Parque do Carmo,14.48,,Parque do Carmo,61.5,,Parque do Carmo,0.05,,Parque do Carmo,0.925021657522379,,Parque do Carmo,1.98453608247423
Pedreira,11.28,,Pedreira,37.91,,Pedreira,8.63,,Pedreira,6185,,Pedreira,5.73,,Pedreira,2672.96,,Pedreira,17.45,,Pedreira,51.22,,Pedreira,14.54,,Pedreira,60.8,,Pedreira,0.067,,Pedreira,0.838846647575787,,Pedreira,0.00291422805247225
Penha,10.22,,Penha,26.67,,Penha,9.44,,Penha,6510,,Penha,14.57,,Penha,2491.81,,Penha,6.56,,Penha,93.15,,Penha,7.67,,Penha,71.3,,Penha,0.432,,Penha,0.978885274822206,,Penha,1.75964702363147
Perdizes,7.04,,Perdizes,0,,Perdizes,0,,Perdizes,6994,,Perdizes,9.91,,Perdizes,3045.87,,Perdizes,0,,Perdizes,87.72,,Perdizes,2.39,,Perdizes,78.1,,Perdizes,0.53,,Perdizes,0.898348781535817,,Perdizes,1.92564916869045
Perus,9.55,,Perus,17.4,,Perus,9.55,,Perus,4824,,Perus,7.58,,Perus,2072.76,,Perus,13.06,,Perus,93.27,,Perus,16.47,,Perus,60.6,,Perus,0.067,,Perus,0.836714644192983,,Perus,0.00315532544378698
